metric,category,kind,n_facilities,n_with,pct_with,median,min,max,mean
governance_protocol_updated,2025-08,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2024-04,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2021-12,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2025-03,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2024-07,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2023-12,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2025-07,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2023-11,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2022-12,categorical,117,3.0,2.6,,,,
governance_protocol_updated,2025-02,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2024-01,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2022-07,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2025-10,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2024-11,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2024-03,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2025-05,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2024-09,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2023-05,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2022-04,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2023-06,categorical,117,2.0,1.7,,,,
governance_protocol_updated,2024-10,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2022-08,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2022-10,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2021-11,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2022-02,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2023-09,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2023-01,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2023-07,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2022-06,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2023-04,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2025-06,categorical,117,1.0,0.9,,,,
governance_protocol_updated,2022-11,categorical,117,1.0,0.9,,,,
governance_qi_active,No,categorical,117,108.0,92.3,,,,
governance_qi_active,Yes,categorical,117,9.0,7.7,,,,
governance_reporting_completeness,,numeric,117,,,76.0,50.0,99.0,73.043
governance_staff_trained_rate,,numeric,117,,,27.0,5.0,88.0,29.889
governance_supervision_visits,,numeric,117,,,1.0,0.0,3.0,1.393
governance_thermal_compliance,,numeric,117,,,26.0,8.0,80.0,29.179
ops_ambulance,No,categorical,117,69.0,59.0,,,,
ops_ambulance,Yes,categorical,117,48.0,41.0,,,,
ops_antibiotics,Sometimes,categorical,117,56.0,47.9,,,,
ops_antibiotics,Rarely,categorical,117,47.0,40.2,,,,
ops_antibiotics,Usually,categorical,117,12.0,10.3,,,,
ops_antibiotics,Always,categorical,117,2.0,1.7,,,,
ops_kangaroo_practiced,No,categorical,117,59.0,50.4,,,,
ops_kangaroo_practiced,Partial,categorical,117,44.0,37.6,,,,
ops_kangaroo_practiced,Yes,categorical,117,14.0,12.0,,,,
ops_oxygen_concentrators,,numeric,117,,,1.0,0.0,12.0,1.726
ops_oxygen_cylinders,,numeric,117,,,4.0,1.0,24.0,5.111
ops_oxygen_plant,No,categorical,117,106.0,90.6,,,,
ops_oxygen_plant,Yes,categorical,117,11.0,9.4,,,,
ops_referral_feedback_rate,,numeric,117,,,36.0,20.0,91.0,40.111
ops_referral_time_hrs,,numeric,117,,,2.5,0.6,4.0,2.443
ops_referrals_in,,numeric,117,,,11.0,2.0,84.0,14.889
ops_referrals_out,,numeric,117,,,26.0,4.0,40.0,25.897
ops_stockout_days,,numeric,117,,,18.0,1.0,35.0,19.436
ops_surfactant,No,categorical,117,116.0,99.1,,,,
ops_surfactant,Yes,categorical,117,1.0,0.9,,,,
staff_anesthetists,,numeric,117,,,1.0,0.0,5.0,0.915
staff_last_training,Never,categorical,117,48.0,41.0,,,,
staff_last_training,2023-12,categorical,117,8.0,6.8,,,,
staff_last_training,2025-04,categorical,117,4.0,3.4,,,,
staff_last_training,2023-08,categorical,117,3.0,2.6,,,,
staff_last_training,2024-09,categorical,117,3.0,2.6,,,,
staff_last_training,2024-08,categorical,117,3.0,2.6,,,,
staff_last_training,2022-01,categorical,117,3.0,2.6,,,,
staff_last_training,2022-05,categorical,117,2.0,1.7,,,,
staff_last_training,2022-07,categorical,117,2.0,1.7,,,,
staff_last_training,2024-07,categorical,117,2.0,1.7,,,,
staff_last_training,2023-01,categorical,117,2.0,1.7,,,,
staff_last_training,2023-05,categorical,117,2.0,1.7,,,,
staff_last_training,2022-03,categorical,117,2.0,1.7,,,,
staff_last_training,2023-11,categorical,117,2.0,1.7,,,,
staff_last_training,2025-01,categorical,117,2.0,1.7,,,,
staff_last_training,2023-03,categorical,117,2.0,1.7,,,,
staff_last_training,2024-01,categorical,117,2.0,1.7,,,,
staff_last_training,2024-06,categorical,117,2.0,1.7,,,,
staff_last_training,2022-09,categorical,117,2.0,1.7,,,,
staff_last_training,2024-02,categorical,117,2.0,1.7,,,,
staff_last_training,2022-10,categorical,117,1.0,0.9,,,,
staff_last_training,2022-08,categorical,117,1.0,0.9,,,,
staff_last_training,2024-10,categorical,117,1.0,0.9,,,,
staff_last_training,2024-04,categorical,117,1.0,0.9,,,,
staff_last_training,2025-10,categorical,117,1.0,0.9,,,,
staff_last_training,2022-02,categorical,117,1.0,0.9,,,,
staff_last_training,2023-09,categorical,117,1.0,0.9,,,,
staff_last_training,2024-11,categorical,117,1.0,0.9,,,,
staff_last_training,2025-03,categorical,117,1.0,0.9,,,,
staff_last_training,2022-04,categorical,117,1.0,0.9,,,,
staff_last_training,2023-10,categorical,117,1.0,0.9,,,,
staff_last_training,2022-06,categorical,117,1.0,0.9,,,,
staff_last_training,2024-03,categorical,117,1.0,0.9,,,,
staff_last_training,2022-11,categorical,117,1.0,0.9,,,,
staff_last_training,2022-12,categorical,117,1.0,0.9,,,,
staff_last_training,2023-02,categorical,117,1.0,0.9,,,,
staff_last_training,2023-06,categorical,117,1.0,0.9,,,,
staff_last_training,2021-11,categorical,117,1.0,0.9,,,,
staff_last_training,2021-12,categorical,117,1.0,0.9,,,,
staff_midwives,,numeric,117,,,10.0,5.0,34.0,10.162
staff_neonatologists,,numeric,117,,,0.0,0.0,3.0,0.043
staff_night_coverage,None,categorical,117,63.0,53.8,,,,
staff_night_coverage,Partial,categorical,117,45.0,38.5,,,,
staff_night_coverage,Full,categorical,117,9.0,7.7,,,,
staff_nurses_neonatal,,numeric,117,,,2.0,0.0,16.0,1.915
staff_nurses_total,,numeric,117,,,27.0,15.0,102.0,31.128
staff_obstetricians,,numeric,117,,,2.0,0.0,10.0,1.675
staff_pediatricians,,numeric,117,,,1.0,0.0,8.0,0.915
